Skinner-cage,animal_ID,cage_ID,genotype,cohort,rewarded_side,date,timepoint,weeks_post_tamoxifen,left_nosepokes,rewards,right_nosepokes
2,2874,1-1,mutant,1,L,10.08.2021,training1,7,3,2,8
3,2876,1-2,control,1,R,10.08.2021,training1,7,1,9,10
4,2873,2-2,mutant,1,L,10.08.2021,training1,7,19,12,12
5,2875,2-3,control,1,R,10.08.2021,training1,7,12,11,15
2,2892,3-1,control,1,L,10.08.2021,training1,7,8,7,10
3,2890,3-2,mutant,1,R,10.08.2021,training1,7,4,33,42
4,2893,3-3,control,1,L,10.08.2021,training1,7,4,3,4
5,2891,3-4,mutant,1,R,10.08.2021,training1,7,23,82,111
2,2880,4-1,control,1,L,10.08.2021,training1,7,2,2,3
3,2882,4-2,control,1,R,10.08.2021,training1,7,4,1,1
4,2897,5-1,mutant,1,L,10.08.2021,training1,7,22,19,6
5,2896,5-2,control,1,R,10.08.2021,training1,7,3,2,3
6,2895,5-3,mutant,1,L,10.08.2021,training1,7,1,1,0
2,3299,6-1,mutant,2,L,2.11.2021,training1,7,2,1,0
3,3300,6-2,control,2,R,2.11.2021,training1,7,2,1,1
4,3303,7-1,mutant,2,L,2.11.2021,training1,7,32,27,3
5,3306,7-2,control,2,R,2.11.2021,training1,7,6,9,9
2,3307,8-1,control,2,L,2.11.2021,training1,7,0,0,0
3,3308,8-2,control,2,R,2.11.2021,training1,7,12,18,27
4,3254,9-1,control,2,R,2.11.2021,training1,7,10,13,16
5,3255,9-2,mutant,2,R,2.11.2021,training1,7,6,3,5
2,3275,10-1,control,2,L,2.11.2021,training1,7,1,1,0
3,3276,10-2,control,2,L,2.11.2021,training1,7,7,6,6
4,3277,10-3,mutant,2,R,2.11.2021,training1,7,5,0,0
5,3278,10-4,control,2,R,2.11.2021,training1,7,20,19,24
2,3280,11-1,control,2,L,2.11.2021,training1,7,2,2,9
3,3281,11-2,mutant,2,R,2.11.2021,training1,7,7,37,43
4,3282,11-3,mutant,2,R,2.11.2021,training1,7,14,1,1
5,3283,11-4,control,2,L,2.11.2021,training1,7,21,17,9
2,2874,1-1,mutant,1,L,11.08.2021,training2,7,32,30,28
3,2876,1-2,control,1,R,11.08.2021,training2,7,1,1,1
4,2873,2-2,mutant,1,L,11.08.2021,training2,7,72,63,29
5,2875,2-3,control,1,R,11.08.2021,training2,7,8,31,41
2,2892,3-1,control,1,L,11.08.2021,training2,7,42,31,11
3,2890,3-2,mutant,1,R,11.08.2021,training2,7,29,62,77
4,2893,3-3,control,1,L,11.08.2021,training2,7,2,2,1
5,2891,3-4,mutant,1,R,11.08.2021,training2,7,19,110,172
2,2880,4-1,control,1,L,11.08.2021,training2,7,0,0,1
3,2882,4-2,control,1,R,11.08.2021,training2,7,0,1,1
4,2897,5-1,mutant,1,L,11.08.2021,training2,7,146,115,12
5,2896,5-2,control,1,R,11.08.2021,training2,7,0,0,0
6,2895,5-3,mutant,1,L,11.08.2021,training2,7,0,0,0
2,3299,6-1,mutant,2,L,3.11.2021,training2,7,3,1,0
3,3300,6-2,control,2,R,3.11.2021,training2,7,3,1,1
4,3303,7-1,mutant,2,L,3.11.2021,training2,7,68,53,13
5,3306,7-2,control,2,R,3.11.2021,training2,7,11,17,21
2,3307,8-1,control,2,L,3.11.2021,training2,7,0,0,0
3,3308,8-2,control,2,R,3.11.2021,training2,7,18,58,73
4,3254,9-1,control,2,R,3.11.2021,training2,7,5,4,6
5,3255,9-2,mutant,2,R,3.11.2021,training2,7,20,22,23
2,3275,10-1,control,2,L,3.11.2021,training2,7,1,1,0
3,3276,10-2,control,2,L,3.11.2021,training2,7,9,9,14
4,3277,10-3,mutant,2,R,3.11.2021,training2,7,2,0,0
5,3278,10-4,control,2,R,3.11.2021,training2,7,2,9,9
2,3280,11-1,control,2,L,3.11.2021,training2,7,25,21,8
3,3281,11-2,mutant,2,R,3.11.2021,training2,7,6,9,10
4,3282,11-3,mutant,2,R,3.11.2021,training2,7,5,1,1
5,3283,11-4,control,2,L,3.11.2021,training2,7,79,32,18
2,2874,1-1,mutant,1,L,12.08.2021,training3,7,52,42,13
3,2876,1-2,control,1,R,12.08.2021,training3,7,0,0,0
4,2873,2-2,mutant,1,L,12.08.2021,training3,7,151,115,26
5,2875,2-3,control,1,R,12.08.2021,training3,7,5,27,35
2,2892,3-1,control,1,L,12.08.2021,training3,7,42,27,23
3,2890,3-2,mutant,1,R,12.08.2021,training3,7,25,42,55
4,2893,3-3,control,1,L,12.08.2021,training3,7,3,3,1
5,2891,3-4,mutant,1,R,12.08.2021,training3,7,25,90,130
2,2880,4-1,control,1,L,12.08.2021,training3,7,0,0,1
3,2882,4-2,control,1,R,12.08.2021,training3,7,2,1,1
4,2897,5-1,mutant,1,L,12.08.2021,training3,7,123,105,7
5,2896,5-2,control,1,R,12.08.2021,training3,7,0,0,0
6,2895,5-3,mutant,1,L,12.08.2021,training3,7,0,0,0
2,3299,6-1,mutant,2,L,4.11.2021,training3,7,0,0,0
3,3300,6-2,control,2,R,4.11.2021,training3,7,2,0,0
4,3303,7-1,mutant,2,L,4.11.2021,training3,7,52,47,3
5,3306,7-2,control,2,R,4.11.2021,training3,7,16,48,52
2,3307,8-1,control,2,L,4.11.2021,training3,7,0,0,0
3,3308,8-2,control,2,R,4.11.2021,training3,7,13,35,51
4,3254,9-1,control,2,R,4.11.2021,training3,7,1,1,1
5,3255,9-2,mutant,2,R,4.11.2021,training3,7,0,8,9
2,3275,10-1,control,2,L,4.11.2021,training3,7,0,0,0
3,3276,10-2,control,2,L,4.11.2021,training3,7,30,24,11
4,3277,10-3,mutant,2,R,4.11.2021,training3,7,8,0,0
5,3278,10-4,control,2,R,4.11.2021,training3,7,2,5,5
2,3280,11-1,control,2,L,4.11.2021,training3,7,18,16,4
3,3281,11-2,mutant,2,R,4.11.2021,training3,7,1,0,0
4,3282,11-3,mutant,2,R,4.11.2021,training3,7,11,7,8
5,3283,11-4,control,2,L,4.11.2021,training3,7,41,22,12
2,2874,1-1,mutant,1,L,13.08.2021,training4,7,46,38,8
3,2876,1-2,control,1,R,13.08.2021,training4,7,0,0,0
4,2873,2-2,mutant,1,L,13.08.2021,training4,7,111,90,12
5,2875,2-3,control,1,R,13.08.2021,training4,7,1,49,63
2,2892,3-1,control,1,L,13.08.2021,training4,7,37,22,13
3,2890,3-2,mutant,1,R,13.08.2021,training4,7,7,34,45
4,2893,3-3,control,1,L,13.08.2021,training4,7,10,9,1
5,2891,3-4,mutant,1,R,13.08.2021,training4,7,10,42,58
2,2880,4-1,control,1,L,13.08.2021,training4,7,0,0,1
3,2882,4-2,control,1,R,13.08.2021,training4,7,2,1,1
4,2897,5-1,mutant,1,L,13.08.2021,training4,7,75,57,1
5,2896,5-2,control,1,R,13.08.2021,training4,7,0,0,0
6,2895,5-3,mutant,1,L,13.08.2021,training4,7,0,0,0
2,3299,6-1,mutant,2,L,5.11.2021,training4,7,0,0,0
3,3300,6-2,control,2,R,5.11.2021,training4,7,4,0,0
4,3303,7-1,mutant,2,L,5.11.2021,training4,7,78,66,4
5,3306,7-2,control,2,R,5.11.2021,training4,7,7,61,72
2,3307,8-1,control,2,L,5.11.2021,training4,7,0,0,0
3,3308,8-2,control,2,R,5.11.2021,training4,7,4,19,29
4,3254,9-1,control,2,R,5.11.2021,training4,7,0,3,3
5,3255,9-2,mutant,2,R,5.11.2021,training4,7,2,2,2
2,3275,10-1,control,2,L,5.11.2021,training4,7,0,0,0
3,3276,10-2,control,2,L,5.11.2021,training4,7,64,41,21
4,3277,10-3,mutant,2,R,5.11.2021,training4,7,0,4,7
5,3278,10-4,control,2,R,5.11.2021,training4,7,0,3,5
2,3280,11-1,control,2,L,5.11.2021,training4,7,10,10,0
3,3281,11-2,mutant,2,R,5.11.2021,training4,7,0,1,1
4,3282,11-3,mutant,2,R,5.11.2021,training4,7,1,6,6
5,3283,11-4,control,2,L,5.11.2021,training4,7,26,15,7
2,2874,1-1,mutant,1,L,14.08.2021,training5,7,91,69,13
3,2876,1-2,control,1,R,14.08.2021,training5,7,0,0,0
4,2873,2-2,mutant,1,L,14.08.2021,training5,7,118,93,6
5,2875,2-3,control,1,R,14.08.2021,training5,7,2,28,32
2,2892,3-1,control,1,L,14.08.2021,training5,7,25,15,8
3,2890,3-2,mutant,1,R,14.08.2021,training5,7,5,9,13
4,2893,3-3,control,1,L,14.08.2021,training5,7,5,4,2
5,2891,3-4,mutant,1,R,14.08.2021,training5,7,22,52,68
2,2880,4-1,control,1,L,14.08.2021,training5,7,7,6,2
3,2882,4-2,control,1,R,14.08.2021,training5,7,5,0,0
4,2897,5-1,mutant,1,L,14.08.2021,training5,7,76,63,5
5,2896,5-2,control,1,R,14.08.2021,training5,7,0,0,0
6,2895,5-3,mutant,1,L,14.08.2021,training5,7,0,0,0
2,3299,6-1,mutant,2,L,6.11.2021,training5,7,0,0,0
3,3300,6-2,control,2,R,6.11.2021,training5,7,0,0,0
4,3303,7-1,mutant,2,L,6.11.2021,training5,7,60,50,5
5,3306,7-2,control,2,R,6.11.2021,training5,7,5,69,91
2,3307,8-1,control,2,L,6.11.2021,training5,7,0,0,0
3,3308,8-2,control,2,R,6.11.2021,training5,7,2,19,24
4,3254,9-1,control,2,R,6.11.2021,training5,7,0,5,5
5,3255,9-2,mutant,2,R,6.11.2021,training5,7,4,3,3
2,3275,10-1,control,2,L,6.11.2021,training5,7,0,0,0
3,3276,10-2,control,2,L,6.11.2021,training5,7,30,21,6
4,3277,10-3,mutant,2,R,6.11.2021,training5,7,6,0,0
5,3278,10-4,control,2,R,6.11.2021,training5,7,2,7,7
2,3280,11-1,control,2,L,6.11.2021,training5,7,24,22,11
3,3281,11-2,mutant,2,R,6.11.2021,training5,7,4,3,4
4,3282,11-3,mutant,2,R,6.11.2021,training5,7,7,1,1
5,3283,11-4,control,2,L,6.11.2021,training5,7,33,19,6
2,2874,1-1,mutant,1,L,18.08.2021,test1-1,8,119,95,7
3,2876,1-2,control,1,R,18.08.2021,test1-1,8,2,0,0
4,2873,2-2,mutant,1,L,18.08.2021,test1-1,8,87,79,7
5,2875,2-3,control,1,R,18.08.2021,test1-1,8,3,64,75
2,2892,3-1,control,1,L,18.08.2021,test1-1,8,26,20,14
3,2890,3-2,mutant,1,R,18.08.2021,test1-1,8,23,56,97
4,2893,3-3,control,1,L,18.08.2021,test1-1,8,7,6,3
5,2891,3-4,mutant,1,R,18.08.2021,test1-1,8,11,109,171
2,2880,4-1,control,1,L,18.08.2021,test1-1,8,11,11,7
3,2882,4-2,control,1,R,18.08.2021,test1-1,8,0,0,0
4,2897,5-1,mutant,1,L,18.08.2021,test1-1,8,88,75,4
5,2896,5-2,control,1,R,18.08.2021,test1-1,8,0,0,0
6,2895,5-3,mutant,1,L,18.08.2021,test1-1,8,0,0,0
2,3299,6-1,mutant,2,L,9.11.2021,test1-1,8,0,0,0
3,3300,6-2,control,2,R,9.11.2021,test1-1,8,2,12,13
4,3303,7-1,mutant,2,L,9.11.2021,test1-1,8,55,52,8
5,3306,7-2,control,2,R,9.11.2021,test1-1,8,6,66,84
2,3307,8-1,control,2,L,9.11.2021,test1-1,8,0,0,0
3,3308,8-2,control,2,R,9.11.2021,test1-1,8,2,29,40
4,3254,9-1,control,2,R,9.11.2021,test1-1,8,2,12,14
5,3255,9-2,mutant,2,R,9.11.2021,test1-1,8,9,6,6
2,3275,10-1,control,2,L,9.11.2021,test1-1,8,0,0,0
3,3276,10-2,control,2,L,9.11.2021,test1-1,8,48,27,7
4,3277,10-3,mutant,2,R,9.11.2021,test1-1,8,3,2,2
5,3278,10-4,control,2,R,9.11.2021,test1-1,8,6,34,41
2,3280,11-1,control,2,L,9.11.2021,test1-1,8,24,22,3
3,3281,11-2,mutant,2,R,9.11.2021,test1-1,8,20,38,56
4,3282,11-3,mutant,2,R,9.11.2021,test1-1,8,3,14,15
5,3283,11-4,control,2,L,9.11.2021,test1-1,8,31,19,9
2,2874,1-1,mutant,1,L,19.08.2021,test1-2,8,107,86,12
3,2876,1-2,control,1,R,19.08.2021,test1-2,8,0,1,1
4,2873,2-2,mutant,1,L,19.08.2021,test1-2,8,180,142,6
5,2875,2-3,control,1,R,19.08.2021,test1-2,8,4,42,54
2,2892,3-1,control,1,L,19.08.2021,test1-2,8,22,20,10
3,2890,3-2,mutant,1,R,19.08.2021,test1-2,8,13,61,86
4,2893,3-3,control,1,L,19.08.2021,test1-2,8,5,4,1
5,2891,3-4,mutant,1,R,19.08.2021,test1-2,8,14,106,145
2,2880,4-1,control,1,L,19.08.2021,test1-2,8,6,6,7
3,2882,4-2,control,1,R,19.08.2021,test1-2,8,0,0,0
4,2897,5-1,mutant,1,L,19.08.2021,test1-2,8,57,41,1
5,2896,5-2,control,1,R,19.08.2021,test1-2,8,0,0,0
6,2895,5-3,mutant,1,L,19.08.2021,test1-2,8,0,0,0
2,3299,6-1,mutant,2,L,10.11.2021,test1-2,8,0,0,0
3,3300,6-2,control,2,R,10.11.2021,test1-2,8,1,5,5
4,3303,7-1,mutant,2,L,10.11.2021,test1-2,8,31,29,1
5,3306,7-2,control,2,R,10.11.2021,test1-2,8,6,56,76
2,3307,8-1,control,2,L,10.11.2021,test1-2,8,0,0,0
3,3308,8-2,control,2,R,10.11.2021,test1-2,8,3,58,82
4,3254,9-1,control,2,R,10.11.2021,test1-2,8,4,18,22
5,3255,9-2,mutant,2,R,10.11.2021,test1-2,8,3,3,3
2,3275,10-1,control,2,L,10.11.2021,test1-2,8,0,0,0
3,3276,10-2,control,2,L,10.11.2021,test1-2,8,36,22,3
4,3277,10-3,mutant,2,R,10.11.2021,test1-2,8,5,15,20
5,3278,10-4,control,2,R,10.11.2021,test1-2,8,3,57,78
2,3280,11-1,control,2,L,10.11.2021,test1-2,8,15,14,13
3,3281,11-2,mutant,2,R,10.11.2021,test1-2,8,8,40,54
4,3282,11-3,mutant,2,R,10.11.2021,test1-2,8,4,41,55
5,3283,11-4,control,2,L,10.11.2021,test1-2,8,35,21,7
2,2874,1-1,mutant,1,L,20.08.2021,test1-3,8,92,77,15
3,2876,1-2,control,1,R,20.08.2021,test1-3,8,0,1,1
4,2873,2-2,mutant,1,L,20.08.2021,test1-3,8,126,100,1
5,2875,2-3,control,1,R,20.08.2021,test1-3,8,5,40,53
2,2892,3-1,control,1,L,20.08.2021,test1-3,8,30,24,12
3,2890,3-2,mutant,1,R,20.08.2021,test1-3,8,6,111,170
4,2893,3-3,control,1,L,20.08.2021,test1-3,8,7,6,0
5,2891,3-4,mutant,1,R,20.08.2021,test1-3,8,8,117,150
2,2880,4-1,control,1,L,20.08.2021,test1-3,8,6,6,5
3,2882,4-2,control,1,R,20.08.2021,test1-3,8,1,0,0
4,2897,5-1,mutant,1,L,20.08.2021,test1-3,8,40,36,0
5,2896,5-2,control,1,R,20.08.2021,test1-3,8,0,1,1
6,2895,5-3,mutant,1,L,20.08.2021,test1-3,8,0,0,0
2,3299,6-1,mutant,2,L,11.11.2021,test1-3,8,0,0,0
3,3300,6-2,control,2,R,11.11.2021,test1-3,8,0,3,4
4,3303,7-1,mutant,2,L,11.11.2021,test1-3,8,79,63,20
5,3306,7-2,control,2,R,11.11.2021,test1-3,8,6,46,59
2,3307,8-1,control,2,L,11.11.2021,test1-3,8,0,0,0
3,3308,8-2,control,2,R,11.11.2021,test1-3,8,6,78,93
4,3254,9-1,control,2,R,11.11.2021,test1-3,8,4,6,8
5,3255,9-2,mutant,2,R,11.11.2021,test1-3,8,3,1,1
2,3275,10-1,control,2,L,11.11.2021,test1-3,8,1,1,0
3,3276,10-2,control,2,L,11.11.2021,test1-3,8,47,27,6
4,3277,10-3,mutant,2,R,11.11.2021,test1-3,8,10,10,10
5,3278,10-4,control,2,R,11.11.2021,test1-3,8,7,67,111
2,3280,11-1,control,2,L,11.11.2021,test1-3,8,67,64,43
3,3281,11-2,mutant,2,R,11.11.2021,test1-3,8,11,49,72
4,3282,11-3,mutant,2,R,11.11.2021,test1-3,8,6,48,92
5,3283,11-4,control,2,L,11.11.2021,test1-3,8,70,33,8
2,2874,1-1,mutant,1,L,31.08.2021,test2-1,10,87,70,8
3,2876,1-2,control,1,R,31.08.2021,test2-1,10,0,0,0
4,2873,2-2,mutant,1,L,31.08.2021,test2-1,10,57,54,0
5,2875,2-3,control,1,R,31.08.2021,test2-1,10,2,45,51
2,2892,3-1,control,1,L,31.08.2021,test2-1,10,32,27,11
3,2890,3-2,mutant,1,R,31.08.2021,test2-1,10,18,149,207
4,2893,3-3,control,1,L,31.08.2021,test2-1,10,16,14,5
5,2891,3-4,mutant,1,R,31.08.2021,test2-1,10,7,118,164
2,2880,4-1,control,1,L,31.08.2021,test2-1,10,22,19,9
3,2882,4-2,control,1,R,31.08.2021,test2-1,10,1,1,1
4,2897,5-1,mutant,1,L,31.08.2021,test2-1,10,138,114,6
5,2896,5-2,control,1,R,31.08.2021,test2-1,10,0,1,1
6,2895,5-3,mutant,1,L,31.08.2021,test2-1,10,0,0,0
